date,time,collected_at_utc,land,ride,wait_minutes,is_open,last_updated
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Adventureland,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,0,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Adventureland,Indiana Jones™ Adventure,35,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Adventureland,Jungle Cruise,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Adventureland,Walt Disney's Enchanted Tiki Room,0,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Bayou Country,Davy Crockett's Explorer Canoes,0,False,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Bayou Country,The Many Adventures of Winnie the Pooh,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Bayou Country,Tiana's Bayou Adventure,20,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Bayou Country,Tiana's Bayou Adventure Single Rider,0,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,"""it's a small world""",5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Alice in Wonderland,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Bluey’s Best Day Ever! at Fantasyland Theatre,0,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Casey Jr. Circus Train,5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Dumbo the Flying Elephant,30,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,King Arthur Carrousel,5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Mad Tea Party,5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Matterhorn Bobsleds,30,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Meet Disney Princesses at Royal Hall,30,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Mr. Toad's Wild Ride,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Peter Pan's Flight,30,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Pinocchio's Daring Journey,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Sleeping Beauty Castle Walkthrough,0,False,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Snow White's Enchanted Wish,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Fantasyland,Storybook Land Canal Boats,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Frontierland,Big Thunder Mountain Railroad,30,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Frontierland,Frontierland Shootin' Exposition,0,False,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Frontierland,Mark Twain Riverboat,10,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Frontierland,Pirate's Lair on Tom Sawyer Island,5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Frontierland,Sailing Ship Columbia,0,False,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Main Street U.S.A,Disneyland Railroad,5,True,2026-09-07T20:40:37.000Z
09/07/2026,1:41 PM,2026-09-07T20:41:17+00:00,Main Street U.S.A,Great Moments with Mr. Lincoln,0,False,2026-09-07T20:40:37.000Z
